Name,Price,Price_Origin,CPU,RAM,ROM,CARD màn hình,size màn hình,LINK,IMG,RATING
Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam,18.790.000 ₫,28.990.000 ₫,"['Vi xử lý & đồ họa\nLoại card đồ họa\nGPU 7 nhân, 16 nhân Neural Engine\nLoại CPU\n8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện']",['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nLPDDR4\nỔ cứng\n256GB SSD'],"['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nLPDDR4\nỔ cứng\n256GB SSD', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Viền màn hình siêu mỏng, Wi-Fi 6, Bảo mật vân tay']","['Vi xử lý & đồ họa\nLoại card đồ họa\nGPU 7 nhân, 16 nhân Neural Engine\nLoại CPU\n8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện']",['Màn hình\nMàn hình cảm ứng\nKhông\nChất liệu tấm nền\nTấm nền IPS\nĐộ phân giải\nRetina\nKích thước màn hình\n13.3 inches\nCông nghệ màn hình\nĐộ sáng 400 nits\nHỗ trợ dải màu P3\nTrue-Tone\nĐộ phân giải màn hình\n2560 x 1600 pixels (2K)'],"https://cellphones.com.vn/macbook-air-2020-m1.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/a/m/amacbook-air-500-500-max_1.png",4.7/5
Apple Macbook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,27.290.000 ₫,32.990.000 ₫,"['Vi xử lý & đồ họa\nLoại card đồ họa\n10 nhân GPU, 16 nhân Neural Engine\nLoại CPU\nApple M2']",['RAM & Ổ cứng\nDung lượng RAM\n8GB\nỔ cứng\n256GB'],"['RAM & Ổ cứng\nDung lượng RAM\n8GB\nỔ cứng\n256GB', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD']","['Vi xử lý & đồ họa\nLoại card đồ họa\n10 nhân GPU, 16 nhân Neural Engine\nLoại CPU\nApple M2']",['Màn hình\nMàn hình cảm ứng\nKhông\nChất liệu tấm nền\nTấm nền IPS\nKích thước màn hình\n13.6 inches\nCông nghệ màn hình\nLiquid Retina Display\nĐộ phân giải màn hình\n2560 x 1664 pixels'],"https://cellphones.com.vn/macbook-air-m2-2022.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/m/a/macbook_air_m2_2_1.jpg",0/5
Laptop Asus Gaming Rog Strix G15 G513IH HN015W,18.590.000 ₫,23.990.000 ₫,['Vi xử lý & đồ họa\nLoại card đồ họa\nGeforce GTX 1650 4GB\nLoại CPU\nAMD Ryzen 7 4800H'],"['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nDDR4 8GB (1 x 8GB) 3200MHz, up to 32GB\nSố khe ram\n2 khe\nỔ cứng\n512GB SSD NVMe M.2 PCIe Gen 3 x 4']","['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nDDR4 8GB (1 x 8GB) 3200MHz, up to 32GB\nSố khe ram\n2 khe\nỔ cứng\n512GB SSD NVMe M.2 PCIe Gen 3 x 4', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Wi-Fi 6']",['Vi xử lý & đồ họa\nLoại card đồ họa\nGeforce GTX 1650 4GB\nLoại CPU\nAMD Ryzen 7 4800H'],"['Màn hình\nMàn hình cảm ứng\nKhông\nChất liệu tấm nền\nTấm nền IPS\nĐộ phân giải\nFull HD\nKích thước màn hình\n15.6 inches\nCông nghệ màn hình\nIPS Panel, 144Hz\nĐộ phân giải màn hình\n1920 x 1080 pixels (FullHD)']","https://cellphones.com.vn/laptop-asus-gaming-rog-strix-g15-g513ih-hn015w.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/4/h/4h43.png",5.0/5
Laptop Lenovo Ideapad Gaming 3 15ARH7,23.990.000 ₫,27.490.000 ₫,"['Vi xử lý & đồ họa\nLoại card đồ họa\nNVIDIA GeForce RTX 3050 4GB GDDR6, Boost Clock 1500MHz, TGP 85W\nLoại CPU\nAMD Ryzen 7 6800H']",['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nDDR5-4800\nSố khe ram\n2 khe\nỔ cứng\n512GB SSD'],"['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nDDR5-4800\nSố khe ram\n2 khe\nỔ cứng\n512GB SSD', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Wi-Fi 6']","['Vi xử lý & đồ họa\nLoại card đồ họa\nNVIDIA GeForce RTX 3050 4GB GDDR6, Boost Clock 1500MHz, TGP 85W\nLoại CPU\nAMD Ryzen 7 6800H']","['Màn hình\nMàn hình cảm ứng\nKhông\nChất liệu tấm nền\nTấm nền IPS\nĐộ phân giải\nFull HD\nKích thước màn hình\n15.6 inches\nCông nghệ màn hình\nIPS 250nits Anti-glare, 120Hz, 45% NTSC, Free-Sync, DC dimmer\nĐộ phân giải màn hình\n1920 x 1080 pixels (FullHD)']","https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15arh7-82sb007kvn.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/1/h/1h47.png",0/5
Apple Macbook Pro 13 M2 2022 8GB 256GB I Chính hãng Apple Việt Nam,30.090.000 ₫,35.990.000 ₫,['Vi xử lý & đồ họa\nLoại card đồ họa\n10 nhân GPU\nLoại CPU\nApple M2 tám nhân CPU'],['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\n8GB\nỔ cứng\n256GB SSD'],"['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\n8GB\nỔ cứng\n256GB SSD', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD']",['Vi xử lý & đồ họa\nLoại card đồ họa\n10 nhân GPU\nLoại CPU\nApple M2 tám nhân CPU'],['Màn hình\nMàn hình cảm ứng\nKhông\nKích thước màn hình\n13 inches\nĐộ phân giải màn hình\n2560 x 1664 pixels'],"https://cellphones.com.vn/macbook-pro-m2-2022.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/h/e/hero_13__d1tfa5zby7e6_large00.jpg",0/5
Mac mini M2 2023 (8 CPU - 10 GPU - 8GB - 256GB) | Chính hãng Apple Việt Nam,15.690.000 ₫,15.990.000 ₫,['Vi xử lý & đồ họa\nLoại card đồ họa\n10 nhận GPU\n16 nhân Neural Engine\nLoại CPU\nApple M2 8 nhân'],['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\n8GB\nỔ cứng\n256GB SSD'],"['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\n8GB\nỔ cứng\n256GB SSD', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Wi-Fi 6']",['Vi xử lý & đồ họa\nLoại card đồ họa\n10 nhận GPU\n16 nhân Neural Engine\nLoại CPU\nApple M2 8 nhân'],[],"https://cellphones.com.vn/mac-mini-m2-2023.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/m/2/m2_256gb.png",0/5
Laptop ASUS Gaming TUF FX506LHB-HN188W,16.790.000 ₫,20.990.000 ₫,['Vi xử lý & đồ họa\nLoại card đồ họa\nNVIDIA® GeForce® GTX 1650\nLoại CPU\nIntel Core i5-10300H'],['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nDDR4 2933MHz\nSố khe ram\n2 khe cắm tối đa 32GB\nỔ cứng\n512GB M.2 NVMe PCIe 3.0 SSD'],"['RAM & Ổ cứng\nDung lượng RAM\n8GB\nLoại RAM\nDDR4 2933MHz\nSố khe ram\n2 khe cắm tối đa 32GB\nỔ cứng\n512GB M.2 NVMe PCIe 3.0 SSD', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Wi-Fi 6']",['Vi xử lý & đồ họa\nLoại card đồ họa\nNVIDIA® GeForce® GTX 1650\nLoại CPU\nIntel Core i5-10300H'],"['Màn hình\nMàn hình cảm ứng\nKhông\nChất liệu tấm nền\nTấm nền IPS\nĐộ phân giải\nFull HD\nKích thước màn hình\n15.6 inches\nCông nghệ màn hình\nTần số quét 144Hz, màn hình chống lóa, độ sáng 250 nit, độ phủ màu 45% NTSC, 62.5% SRGB, 47.1% Adobe\nĐộ phân giải màn hình\n1920 x 1080 pixels (FullHD)']","https://cellphones.com.vn/laptop-asus-gaming-tuf-fx506lhb-hn188w.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/5/h/5h03_1.png",5.0/5
MacBook Pro 14 inch M2 Pro 2023 (10 CPU - 16 GPU - 16GB - 512GB),48.790.000 ₫,52.990.000 ₫,['Vi xử lý & đồ họa\nLoại card đồ họa\n16 nhân GPU\n16 nhân Neural Engine\nLoại CPU\nApple M2 Pro chip'],['RAM & Ổ cứng\nDung lượng RAM\n16GB\nỔ cứng\n512GB SSD'],"['RAM & Ổ cứng\nDung lượng RAM\n16GB\nỔ cứng\n512GB SSD', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Viền màn hình siêu mỏng, Wi-Fi 6, Bảo mật vân tay, Nhận diện khuôn mặt']",['Vi xử lý & đồ họa\nLoại card đồ họa\n16 nhân GPU\n16 nhân Neural Engine\nLoại CPU\nApple M2 Pro chip'],"['Màn hình\nMàn hình cảm ứng\nKhông\nĐộ phân giải\nRetina\nKích thước màn hình\n14.2 inches\nCông nghệ màn hình\n120Hz, Liquid Retina, Mini LED, XDR\nĐộ phân giải màn hình\n3024 x 1964 pixels']","https://cellphones.com.vn/macbook-pro-14-inch-m2-pro-2023.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/m/2/m2_pro_14.png",0/5
Macbook Pro 14 inch 2021 | Chính hãng Apple Việt Nam,43.990.000 ₫,52.990.000 ₫,['Vi xử lý & đồ họa\nLoại card đồ họa\n14 nhân GPU\nLoại CPU\nM1 Pro/M1 Max'],['RAM & Ổ cứng\nDung lượng RAM\n16GB\nỔ cứng\n512GB SSD'],"['RAM & Ổ cứng\nDung lượng RAM\n16GB\nỔ cứng\n512GB SSD', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD, Viền màn hình siêu mỏng, Wi-Fi 6, Bảo mật vân tay, Nhận diện khuôn mặt']",['Vi xử lý & đồ họa\nLoại card đồ họa\n14 nhân GPU\nLoại CPU\nM1 Pro/M1 Max'],"['Màn hình\nMàn hình cảm ứng\nKhông\nĐộ phân giải\nRetina\nKích thước màn hình\n14.2 inches\nCông nghệ màn hình\n120Hz, Liquid Retina, Mini LED, XDR\nĐộ phân giải màn hình\n3024 x 1964 pixels']","https://cellphones.com.vn/macbook-pro-14-inch-2021.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/p/r/pro_2021.png",4.8/5
Apple Macbook Air M2 2022 16GB 256GB I Chính hãng Apple Việt Nam,33.490.000 ₫,39.990.000 ₫,"['Vi xử lý & đồ họa\nLoại card đồ họa\n8 nhân GPU, 16 nhân Neural Engine\nLoại CPU\nApple M2']",['RAM & Ổ cứng\nDung lượng RAM\n16GB\nỔ cứng\n256GB'],"['RAM & Ổ cứng\nDung lượng RAM\n16GB\nỔ cứng\n256GB', 'Tiện ích khác\nTính năng đặc biệt\nỔ cứng SSD']","['Vi xử lý & đồ họa\nLoại card đồ họa\n8 nhân GPU, 16 nhân Neural Engine\nLoại CPU\nApple M2']",['Màn hình\nMàn hình cảm ứng\nKhông\nChất liệu tấm nền\nTấm nền IPS\nKích thước màn hình\n13.6 inches\nCông nghệ màn hình\nLiquid Retina Display\nĐộ phân giải màn hình\n2560 x 1664 pixels'],"https://cellphones.com.vn/macbook-air-m2-2022-16gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/m/a/macbook_air_m2_3_1_1.jpg",0/5
