Name,Price,Price_Origin,ROM,PIN,LINK,IMG,RATING
Xiaomi Redmi Note 11 Pro,6.090.000 ₫,7.490.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB'],['Pin & công nghệ sạc\nPin\n5000mAh (typ)\nCông nghệ sạc\nSạc nhanh 67W\nhỗ trợ giao thức sạc nhanh QC3 + / PD2.0 / PD3.0\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/xiaomi-redmi-note-11-pro.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/t/_/t_i_xu_ng_2_18.png",4.3/5
Samsung Galaxy S23 Ultra 12GB 1TB,37.090.000 ₫,44.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n12 GB\nBộ nhớ trong\n1 TB'],['Pin & công nghệ sạc\nPin\n5000 mAh\nCông nghệ sạc\nSạc có dây: 45W có dây\nSạc không dây: 15W (Qi/PMA)\nChia sẻ pin không dây\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/samsung-galaxy-s23-ultra-12gb-1tb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/s/2/s23-ultra-xanh_4.png",0/5
Xiaomi 13 8GB 256GB,22.090.000 ₫,22.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n256 GB\nKhe cắm thẻ nhớ\nKhông'],"['Pin & công nghệ sạc\nPin\nPin 4500mAh\nCông nghệ sạc\nSạc nhanh 67W, sạc không dây 50W, sạc ngược không dây 10W\nCổng sạc\nUSB Type-C']","https://cellphones.com.vn/xiaomi-13.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/p/m/pms_1670745783.80967984.png",0/5
Xiaomi Redmi 10 (4GB - 128GB),3.700.000 ₫,4.290.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n128 GB'],"['Pin & công nghệ sạc\nPin\n5000 mAh\nCông nghệ sạc\nSạc nhanh 18W, sạc ngược 9W\nCổng sạc\nUSB Type-C']","https://cellphones.com.vn/xiaomi-redmi-10.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/0/0/004_2.jpg",4.5/5
iPhone 14 256GB | Chính hãng VN/A,22.690.000 ₫,25.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n6 GB\nBộ nhớ trong\n256 GB'],['Pin & công nghệ sạc\nPin\n3279 mAh\nCông nghệ sạc\nSạc nhanh 20W\nCổng sạc\nLightning'],"https://cellphones.com.vn/iphone-14-256gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-48_2.jpg",0/5
ASUS ROG Phone 6 16GB 512GB,19.490.000 ₫,20.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n16 GB\nBộ nhớ trong\n512 GB'],['Pin & công nghệ sạc\nPin\n6000 mAh\nCông nghệ sạc\nSạc nhanh 65W\nSạc ngược 10W\nPower Delivery 3.0\nQuick Charge 5\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/asus-rog-phone-6.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/a/s/asus-rog-phone-6-12gb-256gb-den_2.png",5.0/5
OPPO Reno8,7.490.000 ₫,8.990.000 ₫,"['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n256 GB\nKhe cắm thẻ nhớ\nCó, MicroSD, hỗ trợ tối đa 1 TB']",['Pin & công nghệ sạc\nPin\n4500mAh (Typ)\nCông nghệ sạc\nSiêu sạc nhanh superVOOC 33W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/oppo-reno-8.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/c/o/combo_product_-_reno8_4g_-_black.png",0/5
iPhone 13 256GB | Chính hãng VN/A,19.990.000 ₫,21.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n256 GB'],"['Pin & công nghệ sạc\nPin\n3,240mAh\nCông nghệ sạc\nSạc nhanh 20W, Sạc không dây, Sạc ngược không dây 15W, Sạc pin nhanh, Tiết kiệm pin\nCổng sạc\nLightning']","https://cellphones.com.vn/iphone-13-256gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/1/4/14_1_9_2_10.jpg",5.0/5
Samsung Galaxy S22 (8GB - 128GB),15.290.000 ₫,21.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nKhông'],"['Pin & công nghệ sạc\nPin\n3700 mAh\nCông nghệ sạc\nSạc siêu nhanh 25W, sạc không dây 15W\nSạc không dây ngược 4,5W\nCổng sạc\nUSB Type-C']","https://cellphones.com.vn/samsung-galaxy-s22.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/s/m/sm-s901_galaxys22_front_phantomwhite_211122.jpg",5.0/5
OnePlus 11 16GB 256GB,19.690.000 ₫,19.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n16 GB\nBộ nhớ trong\n256 GB\nKhe cắm thẻ nhớ\nKhông'],['Pin & công nghệ sạc\nPin\n5000 mAh\nCông nghệ sạc\nSạc có dây: 65W\nSạc không dây PD: 100W\nSạc ngược không dây 50W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/oneplus-11.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/o/n/oneplus_11_-_black_-_rgb.jpg",0/5
