Name,Price,Price_Origin,ROM,PIN,LINK,IMG,RATING
iPad Air 5 (2022) 64GB I Chính hãng Apple Việt Nam,14.190.000 ₫,16.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n64 GB'],['Pin & công nghệ sạc\nPin\n28.6 Wh (~ 7587 mAh)\nCông nghệ sạc\nSạc nhanh 20 W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/ipad-air-5.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/1/_/1_253_3.jpg",0/5
iPad 10.2 2021 WiFi 64GB | Chính hãng Apple Việt Nam,7.190.000 ₫,8.990.000 ₫,['RAM & lưu trữ\nBộ nhớ trong\n64 GB'],['Pin & công nghệ sạc\nCông nghệ sạc\nSạc nhanh 20W\nCổng sạc\nLightning'],"https://cellphones.com.vn/ipad-10-2-inch-2021.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/x/_/x_mmas.png",4.6/5
iPad mini 6 WiFi 64GB | Chính hãng Apple Việt Nam,11.890.000 ₫,12.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n64 GB'],['Pin & công nghệ sạc\nPin\n19.3 Wh\nCông nghệ sạc\nSạc nhanh 20W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/ipad-mini-6.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/3/_/3_229.jpg",4.6/5
iPad Gen 10 10.9 inch 2022 Wifi 64GB I Chính hãng Apple Việt Nam,10.990.000 ₫,12.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n64 GB'],['Pin & công nghệ sạc\nPin\n28.6 Wh (~ 7587 mAh)\nCông nghệ sạc\nSạc tối đa 20W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/ipad-10-9-inch-2022.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/i/p/ipad-2022-hero-blue-wifi-select.png",0/5
iPad Pro 11 inch 2022 M2 Wifi 128GB I Chính hãng Apple Việt Nam,20.690.000 ₫,23.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB'],['Pin & công nghệ sạc\nPin\n28.65 Wh (~ 7538 mAh)\nCông nghệ sạc\nSạc nhanh 20W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/ipad-pro-2022-11-inch-m2.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/i/p/ipad-pro-13-select-wifi-silver-202210-01.jpg",0/5
iPad Air 5 (2022) 256GB I Chính hãng Apple Việt Nam,18.890.000 ₫,20.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n256 GB'],['Pin & công nghệ sạc\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/ipad-air-5-256gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/1/_/1_253_7.jpg",0/5
iPad Pro 11 2021 M1 WiFi 128GB I Chính hãng Apple Việt Nam,19.990.000 ₫,23.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nKhông'],['Pin & công nghệ sạc\nPin\n7538mAh\nCông nghệ sạc\nSạc nhanh 18W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/ipad-pro-11-2021.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/i/p/ipad-pro-2021-11inch-grey_2.jpg",4.9/5
Samsung Galaxy Tab S8 WIFI,16.490.000 ₫,17.990.000 ₫,"['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nMicro SD, hỗ trợ tối đa 1 TB']",['Pin & công nghệ sạc\nPin\n8000mAh\nCông nghệ sạc\nSạc nhanh 45W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/samsung-galaxy-tab-s8-wifi.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/t/a/tab_s8_2.jpg",5.0/5
Samsung Galaxy Tab S8 Ultra 5G,28.190.000 ₫,30.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nmicroSDXC'],['Pin & công nghệ sạc\nPin\nLi-Po 11200 mAh\nCông nghệ sạc\nSạc nhanh 45W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/samsung-galaxy-tab-s8-ultra.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/t/a/tab_s8_ultra.jpg",5.0/5
Xiaomi Pad 5,7.990.000 ₫,8.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n6 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nKhông'],['Pin & công nghệ sạc\nPin\nLi-Po 8720 mAh\nCông nghệ sạc\nSạc nhanh 33W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/xiaomi-mi-pad-5.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/x/i/xiaomi-mi-pad-5.jpg",4.3/5
Xiaomi Pad 5 (6GB/256GB),9.190.000 ₫,10.490.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n6 GB\nBộ nhớ trong\n256 GB\nKhe cắm thẻ nhớ\nKhông'],['Pin & công nghệ sạc\nPin\nLi-Po 8720 mAh\nCông nghệ sạc\nSạc nhanh 33W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/xiaomi-mi-pad-5-256gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/x/i/xiaomi-mi-pad-5_2.jpg",5.0/5
iPad mini 6 LTE 4GB 64GB | Chính hãng Apple Việt Nam,15.490.000 ₫,17.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n64 GB'],['Pin & công nghệ sạc\nPin\n19.3 Wh\nCông nghệ sạc\nSạc nhanh 20W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/ipad-mini-6-4g.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/2/_/2_246_2.jpg",0/5
Nokia T20,3.990.000 ₫,6.290.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n64 GB'],['Pin & công nghệ sạc\nPin\n8.200 mAh\nCông nghệ sạc\nHỗ trợ sạc nhanh với USB-PD Type-C 15W (bộ sạc đi kèm trong hộp máy 10W)\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/nokia-t20.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/n/o/nokia_t20-dtc-kids-desktop.png",5.0/5
Samsung Galaxy Tab A8 (2022),6.640.000 ₫,6.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n64 GB'],['Pin & công nghệ sạc\nPin\n7040 mAh\nCông nghệ sạc\nHỗ trợ sạc tối đa15 W\nSạc kèm theo máy 7.75 W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/samsung-galaxy-tab-a8.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/s/a/samssung-galaxy-tab-a8-001.jpg",4.5/5
iPad 10.2 2021 WiFi 256GB | Chính hãng Apple Việt Nam,11.090.000 ₫,12.990.000 ₫,['RAM & lưu trữ\nBộ nhớ trong\n256 GB'],['Pin & công nghệ sạc\nPin\n32.4 Wh (~ 8600 mAh)\nCông nghệ sạc\nSạc nhanh 20W\nCổng sạc\nLightning'],"https://cellphones.com.vn/ipad-10-2-inch-2021-256gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/x/_/x_mmas_4.png",0/5
Samsung Galaxy Tab S8 5G,19.290.000 ₫,20.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nMicroSD'],['Pin & công nghệ sạc\nPin\n8000mAh\nCông nghệ sạc\nSạc nhanh 45W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/samsung-galaxy-tab-s8.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/t/a/tab_s8.jpg",5.0/5
iPad Pro 12.9 2021 M1 WiFi 128GB I Chính hãng Apple Việt Nam,23.990.000 ₫,30.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB\nKhe cắm thẻ nhớ\nKhông'],['Pin & công nghệ sạc\nPin\n40.88Wh\nCông nghệ sạc\nSạc nhanh 18W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/ipad-pro-12-9-2021.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/i/p/ipad-pro-12-9-2021_1_1.jpg",5.0/5
iPad 10.2 2021 4G 64GB | Chính hãng Apple Việt Nam,9.590.000 ₫,11.990.000 ₫,['RAM & lưu trữ\nBộ nhớ trong\n64 GB'],['Pin & công nghệ sạc\nPin\n32.4 Wh (~ 8600 mAh)\nCông nghệ sạc\nSạc nhanh 20W\nCổng sạc\nLightning'],"https://cellphones.com.vn/ipad-10-2-inch-2021-4g.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/x/_/x_mmas_5.png",0/5
Samsung Galaxy Tab S7 FE (4G),12.790.000 ₫,13.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n64 GB\nKhe cắm thẻ nhớ\nMicroSD (hỗ trợ lên đến 1TB)'],['Pin & công nghệ sạc\nPin\n10090 mAh\nCông nghệ sạc\nSạc nhanh 45W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/samsung-galaxy-tab-s7-fe.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/s/a/samsung-galaxy-tab-s7-fe-chinh-hang_1.jpg",4.8/5
Máy tính bảng Lenovo Tab M10 Gen 2,2.790.000 ₫,5.190.000 ₫,"['RAM & lưu trữ\nDung lượng RAM\n2 GB\nBộ nhớ trong\n32 GB\nKhe cắm thẻ nhớ\nMicro SD, hỗ trợ tối đa 1 TB']",['Pin & công nghệ sạc\nPin\n5000 mAh\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/lenovo-tab-m10-gen-2.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/l/e/lenovo-tab-m10-gen-2-05.jpg",0/5
iPad mini 6 WiFi 256GB | Chính hãng Apple Việt Nam,15.990.000 ₫,17.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n4 GB\nBộ nhớ trong\n256 GB'],['Pin & công nghệ sạc\nPin\n19.3 Wh\nCông nghệ sạc\nSạc nhanh 20W\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/ipad-mini-6-256gb.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/4/_/4_190_2.jpg",5.0/5
iPad Air 5 (2022) 5G 64GB I Chính hãng Apple Việt Nam,16.990.000 ₫,20.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n64 GB'],['Pin & công nghệ sạc\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/ipad-air-5-5g.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/1/_/1_253_5.jpg",0/5
iPad Pro 12.9 inch 2022 M2 Wifi 128GB I Chính hãng Apple Việt Nam,27.990.000 ₫,31.990.000 ₫,['RAM & lưu trữ\nDung lượng RAM\n8 GB\nBộ nhớ trong\n128 GB'],['Pin & công nghệ sạc\nPin\n40.88 Wh (~ 10.835 mAh)\nCổng sạc\nUSB Type-C'],"https://cellphones.com.vn/ipad-pro-2022-12-9-inch-m2.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/i/p/ipad-pro-13-select-202210_3.png",0/5
Samsung Galaxy Tab A7 Lite,4.290.000 ₫,4.490.000 ₫,"['RAM & lưu trữ\nDung lượng RAM\n3 GB\nBộ nhớ trong\n32 GB\nKhe cắm thẻ nhớ\nMicro SD, hỗ trợ tối đa 1 TB']","['Pin & công nghệ sạc\nPin\n5100 mAh\nCông nghệ sạc\nSạc pin nhanh 15W, Tiết kiệm pin\nCổng sạc\nUSB Type-C']","https://cellphones.com.vn/samsung-galaxy-tab-a7-lite.html
","https://cdn2.cellphones.com.vn/58x58,webp,q100/media/catalog/product/s/a/samsung-galaxy-tab-a7-lite-gray-600x600.jpg",5.0/5
