Name,Price,Price_Origin,LINK,IMG,RATING
Điện thoại Samsung Galaxy A23 5G (4GB/128GB) - Hàng chính hãng,5.490.000 ₫,6.690.000 ₫,"https://tka.tiki.vn/pixel/pixel?data=tzYGctcBGHRiMynDjmFaqLYE71HguljC0TRt5erhv93i1TIJ0-7Q9-HuB73JiTgwIoR2y_yHd7TXz5kzbvLoDH6f2N2cGWKMocTMqvrujgG0c7lGKtuI8PQqlICQrXcBHod5PMNBFOld14mKn9Zp08ixgn7KUy2s79Hs3tjtjLzO82ZcmKcXMMsp7qIPEPMmw2vYZk6P9ADqvQgJ5Cuda_2Asu2-j1sQqe7CEh0JcMuY-vCrMPlUl6rVigas6KB92Y5es7dm-Bk41hz_btIpl28cWjaIsyXQVWs0TNKwiRV3whN6TUU-0x4r8QUKTTYBigJu7dSIR-G3GVWMGzepYx_WtKTBZl9WhC9aaVlgQ4i0xDBNdIbKVaziEMuzD3NYwv6CkFWXmNuVQh9Slg6PG4J7e5420cqukf-jGTYwtM3ZCv_MS3f31KDhg-DYjen7VyP-lu_Kron0pM8WHTGS4fESxomypa3GDmSJSF6-PdRQhOnxfITGgAoSAl5_VccJIDWDNAyaRPAx0kTTo-UMKVgxuUZKwMPDyaiWcChvjppHIcYF7uxZoeE3Z1j3IJpK0OvHP9qkHfvny0d2PLfrRjD6919v0vs5sEahCo0nR5rLfmUyArdm69w6uwnvlQC-CoVeLXegdA4Re_nT4ZQqx9-aslDKnSBwptwF_IsZAvxZ0ekStQV6EAIFqijDgWFEjUtsX2iRRsKZO1Dpp1zMAAeEoFF2vg88yZdvwmCLbhHBQRLzm_uXwhsUFiu9nRhSx2uJcfBghQgzXaEAKsI-S2umMd7yfd6b2i8p3YsFeaZ6PfoEuKSi7j-IL9zQQ-Ug8V5RhHDsDoxFOKuHpXqZ9obmSPsB5bSi4KpSVe9Fnw55mY61tRAJqe0EmqBdFxNONq9d5Jjzd99EcDhc1tHYK9lFlQoaG-0IgGgic3ZrNEsK9QrnV42mGjOoGCVNjUYNn1ZpWz9xqHyOyL7GckRVNr_ZIGZTd5V3spqmxei5ebunIpDNJtaoJocgQB9vEy1Aap5wpZKzx7X4CIFzZaSaka-4gatCSSnVGmx8hkRf15ecPWmgEacUjRt_nqZOCNseQsUoIEXbtK_RbKE0y0jTJLSWFmcAHY96hvqx2j5jhDnR4H4INga0WiVNRlsFrGa0tLeZx-ne2pvCtBZPbD5p-OtgiIE7wnhj5_tOBOoyklve9r6-vPJd3DpT3Ofz8Oa0wxSTPEcbOffD3ccbUVvZRwYaVWyr5IdKNpj9cv6Ajow-nFMY_vz3GyfrzmLKp_D4z66xRSj7yhpZlERVKGDf6C6aQGvwV8wlChDPPOnkIiHrubhnMgrELOkfOsH9PsIW9vmvtQKhpfg9WqzfiFVGEbAIl9tk8i8oN8SojMU4uDOvfuKFmgRStCkWeDX_ZczrU2jcdC6zqAErM7QttvgZv9Xv054P0FGEP5o6m1gOAu1BhUaZbjJW61tuKKfKk1I657VYM6gNbyHM49eE2i5tZxQxGrmM-b9sAeUL1AEkhK9VIbOtEoEiagMMAmbJ3L8KXSIHM_V4X7EWC_V9IlpiXTOf5VSQRe1DdkAL45WzA-w0TaPeSjWscIyWwmIz-_4lmr1eVu28fZkX6Ferdt1vCXnzJXMUL8Qz2PJaB_eODB-WqeFg_WmvbcNezD2apvk2WYX2Okwaf7vSsdcBlYzb8CDhiIjM0I6QRBkUxpwACyRHIZXUtP-c3MNeaslN6MnCoPjGCKbtyg&pos=1&reqid=oQiSh17hCDy2M4Qm&type=CLICK
",https://salt.tikicdn.com/cache/200x280/ts/product/b8/4b/46/a5bc362f50d5a9a868fd882c7261b1de.png,None
Điện thoại Samsung Galaxy A04s (4GB/64GB) - Hàng chính hãng,3.090.000 ₫,3.990.000 ₫,"https://tka.tiki.vn/pixel/pixel?data=4bBir28PrItURh_XtiIQh7iB1SW7AWWqbsWOSsmHKKKp2RDe6OWwdnyD0LgFd-bEJ0ePhp2rvHKaur2DrjZjYPxSza_GC9cToWD0TfY1yUbRVpL3zdMaYI3Boxxd4cFz5Fj2Shqb448FbjgzDeK0p9efq1fnJ9sJfEgg9MN6qvd42fV_tnSvsH4XCQmgG7FWxSFF1ES0s-0K0M-dOWKM_NTz-YB4RH7NxC917tssLfNSt87R5e3rdDZKO246JLNUTTV2pl79D7UHkfmwjstPjRDURiTISoEDVDMXkWaJ_H8zY2WsrNlWd8X4WB0GfBmKjDCFRDAyYabokU3bcHCKWWE9fh071XqGk1BIuto7Qv0Yk_ChcDqr6ZcqHE_QtvY6L8D07yWrEP-srP_uxKApN3G_OoL5_NyyRMQgXybJtk3jpzWWbjq2wfA0U4AU-ZpDWV20vRouLRXcIWu1gawyEFOmnG1F9JtoIVh43xFq_5DSEZCRQseJ4aXGk-xBuDcIN6DJL73CK1h9xNh4N5YzbyHWmqnm-zZt_OEB3y0pUUTkDIZLoSsen5_Z1EKJW76zpNRyWxPofAvw6RdLATJStPzSwaa7T_Y_XBGv4o4YoO0XwQHe7bPkbtfqE9v5wG099tBon-94M5gfvBmZzKNI2wBMjcm9l5sIpCLISixv_h5YKQnJj08IE7BAOSyGHh1IIGRoMHX7VFMZ6WF8hz18JJV_AsLtg2aHlQRelVDcS4YgZPQrza-ls2gOVgXSaLKZBrAaqazm5yXOLKGe2Hte4ufh1trofRd2ZlFugoca24kUjqtdk5DFfgfjl0_sJ3YatFoiW8klylD_VtK3641CW7y2gynKP6fPzGlxWzzYoqdO5Ob58hE1pImRSEv5ynT09gT9k0v0wnXkhkV2WrvT-I1j1keoD2S4ZIbgGwhly8LVM1zAv9o8jZ3HgsmHizvWEPMApvQjhMsnaNN_RsG1b3-7WLmky7mopUTZL4rmD4HH7nE3eVbucLPQTvrst-8IrP4aGte2BEafnRtBAUWdNNbmddWp2m_Q9NkeZZdSm1KeMYkkA0VCr0RNURY3GopvFPJUlTVBvV3E64gmKmASfcoBIBWJljfglK7pZC94753S2rGZV7MdDayvwBXH-yu16YB6ZSA29gj1KR81DCpdssiCErHW97oVu9CY-MsLjyeGzarnsxe_pUZ7TcgqMxbKJWlnfn-eZqkYGHdWOFjMXvrInDaW-ktVU3NZIOSqrkQXeM2AJ34RrOdmBijma6sP8X9G9OeJgNiDD7rLDeKAuGvbNUDQQz_MKmeM_DVtZWwWfk2jjPSeq0v49adXIS3j-BUYgZxBen1jPERZ9u4RjmqId0c0FRmhobE8oXXG9fFrKxnlOROD1ySBR-8mzwFX0q35rnKxPfSRsJ1HApJ_Z7CaexXpRDntwJqzejaP5xsigQUWaGqaoXEjYTDAeqKLaXmMq43KbgjiSLeDDC2dHkL2hX3qv80vKlgnDUD8cM2kovsQqGfZsYoGVLxb39-TVVK_FSmc49LS2IFbqxTotRnKawV07he2k9Pu6egMh5_8dIkqtTMoowDknlAl1jwRdX-aeYVG9JLIY2a7mP-SFFpAmbrIojIBJnqdgnwHaRo1_G_xEEVav5SfhneA72gxOzEaWw2nRoUV1apUjBXIcBZzep1jrAOkaUJ6&pos=2&reqid=oQiSh17hCDy2M4Qm&type=CLICK
",https://salt.tikicdn.com/cache/200x280/ts/product/24/ce/1e/72bb9f75d23ec25c66ae61a3ea280444.png,None
Điện thoại Xiaomi Redmi Note 10 JE 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,2.990.000 ₫,3.990.000 ₫,"https://tka.tiki.vn/pixel/pixel?data=k_Rmcfqu9u9l4YbtQE2zs8HQln7evbtYNaBpTpBaOYl0bSPhHRiyRPRXvB4Zt7cMBW5Z-9uFy4xhYU4tYwFiti4grgfjpeKrAhWNkxahh2JdEGNLQrJO9aQRc9Oe1yAWzXU6YUY5bnCQk2t6VvwgolPitAW6iuTPiRj8oEC_igYGpBdUb-UiJNwgYMzok-GtFYtpcBJmGO2jzxCs8YUGPUoY47UcNnp9utpAkl6VRt0LdDI1Tjf9V8zgCACR-rhsXaWIyGwToFxJQiIBoBwumyieLhbGpO8_U1b7u4eOOmpzcS12yZA2yKAtUK4JudxvTgdgNvnkOOFhwggXAQ3jZUt13hTG5qVPsXyjnR0ho6oJUBZPLnklOD9Fx7zWj19-0ajFZTKKWrItu1MgOlbDyJpF6BSk51pdH6o20zZD9mF_KCMxeKbDBgu6GiXr6FdVQodVWsv1fgR9IGDWD3jY5itWOcY4w8RP_jUbRsk-GFgw6dMp6DppXWitNrMGQj7fqCpV0Up49-AfjHvWfZkBa9fYW_FBrBOW7n_7uaFi19KvQ89nJ2b7K2XQnm_oWyHd38VJHcWnoA8lbcUx0aefu6piUa1V7HalhV2dBIs69OEO8YBhyRmI-edIE8RUiUIPkoFBzFO6MfWiLqMfuV6X-BrWO7g0vRv4hMQC4cNf5I3czhqb26hcA26Lflme-epXRk3JUdambfBg14YbN1X920PlYBMpvMlcB0Nlkaw6YEK-Jd4sCh8o9Qefx4X3Dg4LER54sHirFjzx9FwLVSdVBytykppuxKAgYJuj8Q5pYBqYHRzaNV7ezWd7a7G_cFNwFxZsc2gAXeOfsGCcOIWkU61AOHtmNAxLTv-3cp9G-da82huujxCpJJ_lSTNcGuNU7esrg-H64WUOm44A-yOrnYqZ_g4wb5ZNFgv2NYUbYcYEYzm7VLibKwjyFFmOLaxnNhFfBtysez7eLrJM8eb7_xWAOkHUIMYbnOXg6YM-xxTv-6K8LDLbQZ6DXsGyEQbY0QoMspEt1g_j953cbF9RA2R5pr3jxI82WfMgok2YH9uHj-t9XT32H8AbDFkJEJGHWmP6BYmBfe5FFgghxIsdxO3mMtowSrSMJtsiNjIwC6obFGuuTCc62ftY5IJLhM-0sIHwhfbyYcwy_lF6ZsaNCNehkbx_YuBQJy4YlZyUt27P5XS7-YMgZaiy_dQPpJTjzXMRQhPTYa7_jkBcDe07_fzrbNbpHFCzi-djZFwY-8shPrMwV-YcFMm4xRlSK016A36fkUrtCTC87Ir5Lkr9XXrbFiPMQr7NxIakhaPBNgHEhxONKeBMrjvgPX_Ykvm9EhFX-g9b8gmzuahgbcIJ_qic9raxqJOCsg9E2l0pffy84U7bmAxbHelXRpNuW-U_4uo7-cRWxaJwqT7O5z7lGm1XIM3Qz7neNdgQiTZFTCEYktH8YyFRsE0ff_xtPZpzJtF0jxaBe1yiTuC5ddUVEUYpLmNNq0W0lUE3nzQfOazF53Jg_rbOe93Vu2da23Uah6k1fuSCqaK3Ff73X4W5nPbB3JzWLfiK5wn0FUk3jduaQVBK0jfA7zfHQYJVn0rK9Zq-TYP4pXxHfWsWDPjU8jBApFb_P1uioBkOS22iAtwriTsk9LSSz5EINrytmJAUmcw52uaNsg_rb4NI7hBtsxyH&pos=3&reqid=oQiSh17hCDy2M4Qm&type=CLICK
",https://salt.tikicdn.com/cache/200x280/ts/product/d4/e9/12/02af66cd50c05398bb27285f43905e85.jpg,None
Điện thoại Samsung Galaxy A23 (4GB/128GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,4.259.000 ₫,5.690.000 ₫,"https://tka.tiki.vn/pixel/pixel?data=bX-C-ywPgaD-5HAoU2_NAHC_hh25yHd_JGUTUwDh_C62CEgYcdK0f77ZVRPS-M0XNTZgXUJubH2M1SBN1p_E6s3tHnocBIg58KCymdVwpd1YSGQ7VcaXrBML7fx53HzEnYg5Ro9VBmCRLEG9iIy-usjCbCXv1IqOLhoecwd9jm_J41uIXi09IeHz6mjjr69UGqA5_MaB3HvUQ3fZGTOFt_1pbTMzOKHIKfw4UY_2KcLNlaC4xYODMzwD1mScpt4OfakWIYXd36xNssZ4xrLeLWapCTbIyokq8wusYcW2uTi4Wcw1jlX202xMcnSrGeMMgyOukm70E9oLN1SKGgUchHJyhU0RGHqA4jXiiGOrQGQciB_OybJjfggNizrTUH-_taesKW5fWo00yF9iVuw46WahzqFKbIYVg7W3O6W7NlVnTJ_dOUI93WkVV74mElSnv8xS0FQitfoUt7hoKKw2n9Q4aZ0awbYwicCIHbZ1zy4fD0_PWC2HU7gbKwgIhVXasuUPIe72xOZkS2lqMhTJ1vIFO6xFTY6zF86V1ul7R07VUD4o2LocwX0h0lCRNsLGUryWZnBoeuTwZGv3aDJpbKFn810-iRneDsm2cHLLL29GWmTlrRnusreiAAclAOhhy6tDqOgATuL9k2WSmelyDv-eRqMqyjaqyLqIZHXekGkQXdcssA_z2Cj1zBlvNIXOu9al5e4ViI8Ii7tzStcS4ZkBKnXUlOTnAZ-5HRD8SUTfydcEOQTtO1dEsqWWUtFHBwSYOjyhBXNRupZ0FGnnu55p-ot5OsgNR_GT3rhxQOOpVOUO7zVZA1GjuGM5tc69XWtFDQW8X9UU9h9F7QsWYt0ZrTFZkcTgVxWaFUeWTa7eyCS4ZlQ6H3UL-GEzRLVIsj2Or5vHj8e0qXzkfhM4iCNB_4OoXRCdgjWPoajsFrhZZvv6GuZzZuNoXckCMXRiAhDoS_Uo_3X8YAAGHXCvxq-VNGX5lgBP_vboQ9MuSzyvnVxBsnVqKO9nn9Q-kgj2RguzEl_rkdvEbVTB2X68v77mbIgzqA5MDvSnIfnVLigqz4qjbcyhx6R_zyScl9P0ktcCs3zqO-w78XqCxmXD6X7uHwtvm56p84z4CAl8iYbqn6WC9q-6p8wvDyw7M8sgT8pqMMfGRfkDkHSqQ2fO-iWKY1ifbB6fUotim19xN-CO95z_o_WYDEm5u0LPJ1YFzxbnXLcNdm-itP62bMMczKH9F-82d7ve6mkYZEAp_5wiPGzjB3upZ6SDeyhVCJQLAY3xqVu1cjOgPy3RlC3rkllJH4yFguMCpa4ecfszFceAIDaDKOZt6GGJQ959B33NTZrHsKRse1MLVFtaZAFnIPctKBf34CAA3WYABXUShfkQElaOAJ7DEIFqKlraeTKY8Zs2vV_EPPxgaGAyT6MlL412Qb-6X9PJ3jp1H9ON0gW6xeMomqQI-Dwli4q31bWngyUURz-E_Q7eBguUGAERRIzYok9-wDj-QigdGJ8Lg5JpXSXc6a73O9Q40HJ-bm-Y45fk2FX4aktvTsqTdmigFhdBOxLO6amX-tWukRXC6lk__Ts-PoZCeKfTN0-KesSIrRg9wwmND4IwV545aKrY4R2XsFf5jWFWaxzb-lJqikZraKtz5VU4FHkn49DZnrQ&pos=4&reqid=oQiSh17hCDy2M4Qm&type=CLICK
",https://salt.tikicdn.com/cache/200x280/ts/product/f1/8d/b9/eeb03af8d71650dc4d21cd0cb370448a.jpg,None
Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,1.989.000 ₫,2.490.000 ₫,"https://tka.tiki.vn/pixel/pixel?data=uPSi7fBlw1-crOfLRa1MEC8zRqFI1g12SgI2bBaV_2VvTw3P5mul8Ga5gLMa-mbRvCP5VaHVIKJ3rOWxg9tDyHVERz_8gM1c0j52MoIqZdXp3uEdfih7qVtLTLZuOfQlQcYyMkKTJiMqc2qARCbfUhdZ4qIKt8iZD0OLOJiYZW5oV07kzggNPO3VyH3Cn3b0MIlB5A0xqhYslStgUw8jiy2dHamEif9ip6DQQaJVHHCYXDkJeRtoI_kRLIOkYJKyHmJcaB6E_ZMaQmPunf25hBccvk-cATGQo9t7c4PmSCqWcrJz4QjVRV7Fu_9_VpyiW4zCmWxchroOZPExQEn5TpB9uVivC66EDGsFhLoFFzLhGuNAw7MOQcokur-zlc0UkyLudW_4Eih-jlJDoqgFhslRZYy653Biv0d0OlCGTPmdOQYPXlk41CWbtCYeJxXa94azmgwpmkZUjlXx13Q_1Fmsrbx_NxHCOYRFuUfPcyFbDHP5iYX2VHSO-pehJPuJgFdv6C3S16dxzSqB81ycQX9Rn8wTL9IJce7ZmaFDkOcrzawpcXeYINKbYUoYSQGBLPYsi3HoEru2puy6jwz3Qy_Ihfa5xSR3byp8omHV6YPr6gFXet9SBuEzZFyxRhpcxDvcseou9p8RcCuEY88w253sZdnCopmmFPuDqxkphueBN6V3dGPyHBxBcUeeO2cYPVSDfdxpgcwZpcNVHjtEWkkeqltynMbNuNtGpQRLMIG11fpkn6rvbCPVsLm_Myhh-rPZqPpu_EcTfOuHkGuQ2MJPNV5feLl_N3mRusm5PXsBqHL7buHuX0nm02UkIaq8Z5DXx51a5vl9fZKBk9EHBXAwWPRYOowxA9toxZ-zxQ4VgPfZSUGxRjeUbFg4JU0M9zwaXWRys0bGMvFJ4HUjk5z8WhAV2kVbmDgzAIEUR4ypW-Z2J2eUgyf1VNlDB--4iE71_w7PrbUMaQOkf8rq3goMH-bMWQGGJrmDpfF8IM-L5YoD6fZOHhXjboZx7ftNvuat1nViSVu3nLt_mN0uj7AIDgv-cF1AF8K3P6FeyqHGqp3hWtZ-4OElvKDASuWjmG9X-mQXaXgTRri6WBZowykjFFUcAtY0mOWITdF_RTD9wGoqYO0n2G5TGkYAj8ZM4UaA-QJfHZKC5J2G10E6NKlqPEkQIDuNc8I8DAzwIODrTLGjnvo3MvuRVEDifDoCXf1hwNH38GA0Iga3VhKQIKyWoiXxJK8FC5lCDjYSnsF9qHfVBR1WnwCEiE2QJHO0_R2kaS3fIq-Z_ksQ-IQydUSKsBd2L0IASlRVMEgu8XNj-TB5RoTWLDYgKJZ6GN1up_f844HMpmCkC0FfL4LLBajki9kiQRzHMV3dwH3J7xK-K6D9L4lo7KthUGEX9CbJ1pMV65YEp7WvAWRx2UvzIR6KIsJBYpvn3ImEspv0j0jHhnDIoMkJRYZG0i_9fqBQo9R0cNxEZPEIz2FQeho3YE1xV-sv9dbo1enYypNAtQC_dX-Wgpvwg210o2XeCF0QdYezRA4DJSTpyj0sPINy9g_pbinb3kWOHxpnya0g5Muhz6snVhYWT6n1mOAdUaTr1cTxPhXPMFU3My5SwJ6bQs3xs--Jcffjf9-nePzbYDqjvsxNTFATCOG1CwRsUPmGTg&pos=5&reqid=oQiSh17hCDy2M4Qm&type=CLICK
",https://salt.tikicdn.com/cache/200x280/ts/product/b5/b8/79/b5f298fba4538c309cc4e0c6889b2297.jpg,None
Apple iPhone 14 Pro Max,27.490.000 ₫,33.990.000 ₫,"https://tiki.vn/apple-iphone-14-pro-max-p197216291.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.197216306&itm_medium=CPC&itm_source=tiki-reco&spid=197216306
",https://salt.tikicdn.com/cache/200x280/ts/product/0c/dd/e7/e6431984901119a1f8166cc4e579da93.png,None
Điện Thoại Oppo Reno 7 4G (8GB/128G) - Hàng Chính Hãng,5.490.000 ₫,8.990.000 ₫,"https://tiki.vn/dien-thoai-oppo-reno-7-4g-8gb-128g-hang-chinh-hang-p177343384.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.177343388&itm_medium=CPC&itm_source=tiki-reco&spid=177343388
",https://salt.tikicdn.com/cache/200x280/ts/product/d5/7a/17/48b7d8714730c506813e35c74e3a2616.jpg,None
Apple iPhone 11,10.590.000 ₫,12.990.000 ₫,"https://tiki.vn/apple-iphone-11-p184036446.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.32033721&itm_medium=CPC&itm_source=tiki-reco&spid=32033721
",https://salt.tikicdn.com/cache/200x280/ts/product/a1/cd/ce/84a16c41ac07ce50d754e44a16ecbd1c.jpg,None
Điện thoại Gaming Tecno POVA 4 PRO 8GB/128GB - Media Tek G99 | 6000 mAh | Sạc nhanh 45W - Hàng Chính Hãng,4.346.000 ₫,4.990.000 ₫,"https://tiki.vn/dien-thoai-gaming-tecno-pova-4-pro-8gb-128gb-media-tek-g99-6000-mah-sac-nhanh-45w-hang-chinh-hang-p203764665.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.203764669&itm_medium=CPC&itm_source=tiki-reco&spid=203764669
",https://salt.tikicdn.com/cache/200x280/ts/product/08/3e/1d/d0d35e6f160a7c5f9d24b6efa109d5a2.png,None
Điện Thoại Samsung Galaxy A03s (3GB/32GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,1.990.000 ₫,2.990.000 ₫,"https://tiki.vn/dien-thoai-samsung-galaxy-a03s-3gb-32gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p127372598.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.203293707&itm_medium=CPC&itm_source=tiki-reco&spid=203293707
",https://salt.tikicdn.com/cache/200x280/ts/product/9b/c9/0a/13195b09fa74b50051e8fe5ba4024c02.jpg,None
