Name,Price,Price_Origin,LINK,IMG,RATING

Điện thoại thông minh Bphone A60 - Hàng chính hãng,6.490.000 ₫,None,"https://tiki.vn/dien-thoai-thong-minh-bphone-a60-hang-chinh-hang-p171221070.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.171221071&itm_medium=CPC&itm_source=tiki-reco&spid=171221071
",https://salt.tikicdn.com/cache/200x280/ts/product/ba/0f/c8/d77e83e14fb78d6b46bf1c1cd438ce66.jpg,None

"Điện thoại Gaming Redmagic 7 - MH AMOLED 6.8"" Full HD+ 165Hz - Qualcomm Snapdragon 8 Gen 1 8 nhân - HT làm mát 8.0 - Hàng chính hãng",18.990.000 ₫,None,"https://tiki.vn/dien-thoai-gaming-nubia-redmagic-7-mh-amoled-6-8-full-hd-165hz-qualcomm-snapdragon-8-gen-1-8-nhan-ht-lam-mat-8-0-hang-chinh-hang-p185887807.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.185887811&itm_medium=CPC&itm_source=tiki-reco&spid=185887811
",https://salt.tikicdn.com/cache/200x280/ts/product/f9/f3/f5/abe1b6a7f0dabf83d84df7c4cbbff2d9.png,None

"Điện thoại Ulefone Armor 14 pro (chống nước,chống va đập,pin khủng,pin 10.000mAh,Ram 6Gb,Rom 128Gb)- hàng chính hãng",5.990.000 ₫,None,"https://tiki.vn/dien-thoai-ulefone-armor-14-chong-nuoc-chong-va-dap-pin-khung-pin-10-000mah-ram-4gb-rom-64gb-p181266509.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.181266510&itm_medium=CPC&itm_source=tiki-reco&spid=181266510
",https://salt.tikicdn.com/cache/200x280/ts/product/cc/02/3a/1d54b42c01e58cfcc866585cb61f7ee6.jpg,None

Điện Thoại Nokia C21 Plus (3GB/64GB) - Hàng Chính Hãng,2.190.000 ₫,2.999.000 ₫,"https://tiki.vn/dien-thoai-nokia-c21-plus-3gb-64gb-hang-chinh-hang-p179930704.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.179930708&itm_medium=CPC&itm_source=tiki-reco&spid=179930708
",https://salt.tikicdn.com/cache/200x280/ts/product/d5/32/c4/23054e32a2ca68f93f8da88f126f4392.jpg,None

Điện thoại Samsung Galaxy S23 Ultra 5G (12GB/1TB) - Hàng chính hãng,40.359.000 ₫,42.000.000 ₫,"https://tiki.vn/dien-thoai-samsung-galaxy-s23-ultra-5g-12gb-1tb-hang-chinh-hang-p216175761.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.217088763&itm_medium=CPC&itm_source=tiki-reco&spid=217088763
",https://salt.tikicdn.com/cache/200x280/ts/product/5c/0c/67/e30e0ab29ef11378ba87ba0a91441b00.png,None

[HÀNG CHÍNH HÃNG] Điện thoại Gaming Xiaomi Black Shark 5 PRO,20.000.000 ₫,None,"https://tiki.vn/hang-chinh-hang-dien-thoai-gaming-xiaomi-black-shark-5-pro-p212470482.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.212470486&itm_medium=CPC&itm_source=tiki-reco&spid=212470486
",https://salt.tikicdn.com/cache/200x280/ts/product/e0/14/c7/79b8735a036181ee209273c7f18687e2.jpg,None

Điện thoại thông minh Bphone A50 - Hàng chính hãng,5.490.000 ₫,None,"https://tiki.vn/dien-thoai-thong-minh-bphone-a50-hang-chinh-hang-p171254543.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.171254544&itm_medium=CPC&itm_source=tiki-reco&spid=171254544
",https://salt.tikicdn.com/cache/200x280/ts/product/75/00/d1/7ad2b4cd339d6f2d0bc4770e7a31b33d.jpg,None

Điện Thoại di động vivo Y16 (4GB/128GB) - Hàng Chính Hãng,3.750.000 ₫,4.490.000 ₫,"https://tiki.vn/dien-thoai-vivo-y16-4gb-128gb-hang-chinh-hang-p196193895.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.197601733&itm_medium=CPC&itm_source=tiki-reco&spid=197601733
",https://salt.tikicdn.com/cache/200x280/ts/product/e0/d2/51/db84b5d9b3d05f9554d1a77b89bee274.jpg,None

"Điện thoại Oukitel WP19(chống sốc ,chống nước ,Pin 21000mAh ,Ram 8G ,Rom 256G ,Tầm nhìn ban đêm 64MP , Máy ảnh 90Hz ,Điện thoại Helio G95 )-hàng chính hãng",10.790.000 ₫,None,"https://tiki.vn/dien-thoai-oukitel-wp19-chong-soc-chong-nuoc-pin-21000mah-ram-8g-rom-256g-tam-nhin-ban-dem-64mp-may-anh-90hz-dien-thoai-helio-g95-hang-chinh-hang-p192859201.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.192859202&itm_medium=CPC&itm_source=tiki-reco&spid=192859202
",https://salt.tikicdn.com/cache/200x280/ts/product/17/5b/7b/ac1d0110b90e4a4f475051c186783acc.png,None

"Điện thoại OUKITEL WP16 (pin 10.600mAh, Ram 8Gb,Rom 128Gb, màn hình 6,39 in , Android 11, Máy ảnh nhìn ban đêm 20MP, chống nước IP68,chống va đập, hai SIM 4G, NFC..) – hàng chính hãng",6.990.000 ₫,None,"https://tiki.vn/dien-thoai-oukitel-wp16-pin-10-600mah-ram-8gb-rom-128gb-man-hinh-6-39-in-android-11-may-anh-nhin-ban-dem-20mp-chong-nuoc-ip68-chong-va-dap-hai-sim-4g-nfc-hang-chinh-hang-p181918564.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.181918565&itm_medium=CPC&itm_source=tiki-reco&spid=181918565
",https://salt.tikicdn.com/cache/200x280/ts/product/2f/2c/21/513325a975bee29b4b1dbbb0ef769747.jpg,None

Điện Thoại Vivo T1X (4GB/64GB) - Hàng Chính Hãng,3.590.000 ₫,4.490.000 ₫,"https://tiki.vn/dien-thoai-vivo-t1x-4gb-64gb-hang-chinh-hang-p179159231.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.181215759&itm_medium=CPC&itm_source=tiki-reco&spid=181215759
",https://salt.tikicdn.com/cache/200x280/ts/product/35/71/ae/b4972c845d40935701308e161ad86421.png,None

Điện thoại OPPO Reno8 5G (8GB/256GB) - Hàng chính hãng,12.190.000 ₫,13.990.000 ₫,"https://tiki.vn/dien-thoai-oppo-reno8-5g-8gb-256gb-hang-chinh-hang-p195247535.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.195247539&itm_medium=CPC&itm_source=tiki-reco&spid=195247539
",https://salt.tikicdn.com/cache/200x280/ts/product/dc/0b/c5/663cc7adc9e99a6166c84f28c799df3b.jpg,None

Điện Thoại Xiaomi Redmi Note 11S 8GB/128GB - Hàng Chính Hãng,5.769.000 ₫,6.690.000 ₫,"https://tiki.vn/dien-thoai-xiaomi-redmi-note-11s-8gb-128gb-hang-chinh-hang-p165965622.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.198612212&itm_medium=CPC&itm_source=tiki-reco&spid=198612212
",https://salt.tikicdn.com/cache/200x280/ts/product/3b/fe/8e/67925546b734103315dd7b1aba6d2488.jpg,None

Điện thoại Samsung Galaxy A04 (3GB/32GB) - Hàng chính hãng,2.350.000 ₫,2.800.000 ₫,"https://tiki.vn/dien-thoai-samsung-galaxy-a04-3gb-32gb-hang-chinh-hang-p201631518.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.203982961&itm_medium=CPC&itm_source=tiki-reco&spid=203982961
",https://salt.tikicdn.com/cache/200x280/ts/product/46/94/62/96abd82e05e65f747c5e1116c04fcac3.jpg,None

Điện thoại Xiaomi Redmi 10 5G - Hàng chính hãng,4.790.000 ₫,None,"https://tiki.vn/dien-thoai-xiaomi-redmi-10-5g-chinh-hang-p181699158.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202304040600_MD_batched_PID.181699174&itm_medium=CPC&itm_source=tiki-reco&spid=181699174
",https://salt.tikicdn.com/cache/200x280/ts/product/f8/1f/d8/f72a0c480f454c71d130fae28608ec69.jpg,None

