Name,Price,Price_Origin,LINK,IMG,RATING

Máy tính bảng Samsung Galaxy Tab A7 Lite LTE SM-T225) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,2.950.000 ₫,4.990.000 ₫,"https://tka.tiki.vn/pixel/pixel?data=138lxu7WHe0exocbgVBXLfZ43BaeNBm0mGZ2nl9lu4FkYED1O_U_2QL31jfABFH_tUdDDg2FYb5hE09ZqdDk4veYhNIBMXR5q4hZuU2YLtnglbturbEVUbTNU0akx0q-oXwqbZlTBpjKIcdFXtr6cfEe1OwEFmHGnGYomDuByjiXTZiTrJ2MEuz7ecYfpBk9QQM7L-HrjG3PRXuZ7yyGhNWZ0chukFqM0d9oAjvgLJhm-hpFXWPAu2eQemwcvwJ-Bvf5qxMfGVBD7NBc5P5luu_qkpbTppyCgACl-IMIsKq2q2NIe0YuD7IYsCDdX8-YEetyrI2FZxVgIatQnYg9zH-ovJFLK4PLYI11nnuE2NHtIq70LbpWLNUcs-s9b-H3XPwb8sw_B10u578g767xmrTYkiKYOe-n_8wV1X8oyYd_7gaLILPdwuw09-4TpdWlPe-X2wGAq_mzbDNg4p2DQh0xD297WmicnieC_5r59L9dhJs2pSLhklj-QQTTFDExtTOoMES0zZQ8Un3s1ZE4Q9m47Zu-n6h7I2wBw32B6tInoL9VqeeoGnceX6AVVoMNsjXqDFGXyPQMmslG_SPSB8LpJA23fcvdCzTviF09PB7WXwIV9UR25cvL0IX3beLHH1nlLHN4FGs04oFdmkUv-hlt_nvWmY2E6mBw2i42iyJUbSesllvg6tBelIYjUFvEwnrBZfh4TAL9X1xlQ7bpPm8vJILphbK4EqCbxK-tlRUfP2RHhit_HCQHCaqfS-3x0v0dkDcDjcJT5aeQ95-nRyHLG4SH2y9EB7G3_wxyI5F5zYwfJiIdOWNreUDZ3TFnsq2dcKkpCQ9C9E3BxFhOBlFDYIjLJXdve5PMf8aPPkTi5tz4wCkBPzKUq3AdAG-JcX5dlVphZNlilZmZ1Dxtbc8is25oO_YHyb6XwECFpLf_yHDvlrxbud6R2Y9VXecQnMHxhxhpnjFGkLTIDv5fd_UmIorG9nAbAiXwO7vPcE8eM5uPCiwuDeqA9GYYbICRSXVXc4dVl3HdkhdBYE26mcMN2OSB0HjQQoQUvnDGR6DEdie4LsY0KmEgkARh1P8s8p1zQsnxyp72j93hOtsG60WXeIrtVLyeYTR0YuHGqGzKygcUHD8hcJAObKrA7Jhfb__6rD-B2RJuIU7jSXpXvhZgOqQpx71460GLCZJqIbqQbbLwtboTGcRFft2tU3qT9G2TE12RG6WTlDAVxkIVFAPnInb7-H42NX04PEqLEk3xtdyyn-vrWRVoefAWFNI2GWhc-yN_JsQ_Aw6AE6r8vlwFBO_rftzHv5JmC88foR7WyakmqLxEGBcPR8Vs0Fns-ce95mLDpAk-TVivjc77PPHfqg5mWsmBjYezZ3zwWxB-bzRLV0W4IyTSQvwRMzfuhjHR10VHPvDaCqb8PewnlMn8pWtyL5SXzQW5gBqSDlQsjUZJlxQJd8AoHowfPNXBQTO0GVtrK6dVG_1AEKwBBNCW1ZgGNOX1FlENlZ7bFDT7Fe8uIR0VeiW0F2uYlHSTma0WjRnu7KXJJBNUmuL485DIc6bMCLMewF_Dd7GJoHvm786zfO5yifXEuWS18bXzFHk5Xp75y6-epTKiyvm0QzNaHzoQsjAJXdEMF3EyGh0zzXTPPulbLsCc00nxVRMKt7L48Fsf&pos=1&reqid=2jQtGGAfqtoviULR&type=CLICK
",https://salt.tikicdn.com/cache/200x280/ts/product/15/b7/63/7264698dd6dc77d3c5541577b785ee0c.jpg,None

Máy tính bảng Samsung Galaxy Tab A8 (2022) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,8.490.000 ₫,None,"https://tka.tiki.vn/pixel/pixel?data=lZwFIqSJAaIZy2kFco_13qSWtraXXPZUL54y5u22XZivsjceZgJyidLEq5EVe_pX09iu_Q4i2BDYFnakTlQbl8Su3I8ux1dSkSWfp_07m3H9FGj4E9d6MwIWBL9ZqN3G1ZXeZbb75o3c0kkwEaHgyVe7A8lZtz4hOkN6EnvE-vVYndZXfTihTohF7ndPPyU8H1rjCOq2WY4pjaTPju9oCOr-aaCkTjY8arS0O5Xs5VZVKVpa4rLumoaSmpOknbZSyrV8NZUu2P11Xwjb_dUafgcJB-MRWlthxi6qHhAh3K09RGyv8ZrDLxFF60uw6iD9j5AgjjbsOyPmg7nKBOomgF2XTMmjlTTXgrj73rOkK0GDBKGJrR4g-yI9YqEXzrRKsEfTo9rS2thYz9ebB7OLESCBfZ_o6Ot5Ou14z6V7i-as_BFqRvmCizj0M3x0te4ExCKwQwXVNVh5UT_GOuFYUDoM8v81Un8GQa5iW6aOYzbzWPuAhGbA_xrOGIs6H98CKZoLqcMoTM9Q-00TV6Ib8xqMcSVO_qYAYxQYcFfHAEokWu7F-N9iwFKFqIdRrEzwwk6pDb9YDkrOWg7zA_XForNufoxtA0f-baLk3nK9ZkUbs5tXVzg2-JglgZMxeKfoIqeV7i68ERIyk6TzAAzC4BYYS47i0pt3sjuiSDaSt_C12Fs4ks5H7iGkivja6GOhM23qq1JesHs565uYYz5IUn0h5v4gHGmhwGw0xAHF9ViS8nqNvT5HgsJZ10jKNTwCYmNwQBbJZ7To1UjuPOf91D3mN0yw8gjqN_sr7Ei1kjopVOLSbr7o-R6EaeoJcubs7rPrHBoUtCz1HHoku_WxcQfbQS1sgZvV-H5_6tz2jafwZoMEwd3BylZ_IGCZFlmIrKncQAZ0YKzETt02StyZCSJT4BGCT5lrCesz6R6DuCfw_71wEgD6rbpIZQCePauFhpULwOVF0Y-8qObsrXNlDx7KeKs7KKbfH6VG7_bOoK5QT387Vn_oC8J2flFQUel5MP6cfdS43OvMYXgeSqDQ7TGe8iSEnZsGmXGMv8tLTCkGeCDPWPY0ISnFTZW52zx_ZED6vN1l38WP8L66M23JxvP6wUBDNBkgBXNWoXFn_8G675k1NnmOyG2SRBB-3DpJ-K5onLxx3BMCZ50Tg61eDOFHSOy2qPe9c77YoAvuaMu1AQjCczOotaOePKU-fhFpM9kQ7ShcYTBvXmThirYWOE4cjuJNCOc6xbXhAU4t81oys5gD4_uRBNJ6XsueMIieKBIRgOzlHpD3lFPzpr0E5Z64BUwdZMpzpEc4pNszz-CnkwgRskU_rSpICWTq0ssdT60s1ciQgnY7o4gg04abhq2BSKKgvRtWsXWZMOaM3fVVL1f9nY5QYdFCSDt4d3JqCOIluifMophYdN8jD1sD1VL5X1wzOhqUYbsp5R1tjV4qtZOm1WZaawJhzceyozU-o0f5NgIg69syQ8RRwJ8k86Yos-KB2gT79mnlw1dmdgmMBvSLsDuxLNedd6-2KaoWqNXHp2E__f1hO3K3VCFRtwWFJx3Oq3R1E0J1T9BJyHNtTKRie-rpd1zadISdv4fdORPFyLlFuEXkuV4DidDgLnvnw8JomV1-mzBvNpD3vllV6_sHtKXB1cyFgaSxz9Zy3VUkik4O8RX7REdiLkMJ&pos=2&reqid=2jQtGGAfqtoviULR&type=CLICK
",https://salt.tikicdn.com/cache/200x280/ts/product/a6/b6/6a/5421e908c949785805b2b32bb20b59e7.jpg,None

"Máy tính bảng Fire HD10 2021 - 11th - (All New Fire HD10 - 2021) - Ram 3/4GB, bộ nhớ 32GB, màn hình 1080 FullHD",3.230.000 ₫,3.990.000 ₫,"https://tka.tiki.vn/pixel/pixel?data=f5janNYH_cEWZogBvyhVFQLcuUsuR6FZzZW7-Ixuk4f5T6AdHr1DCyZG6Zu_qlNjatQFlX-pqi5_YFP35RoebjGjW5OCqMZAaNoBIheO71zsY5WUoLL79HGqNNqTrglmEGAuBvBh_ytFSRn14pluOTX0zdqfriDP-qX7vVdwOYlhX9m5jLOHpiVUi2-1ZTnIcBhLKqwQ2p_Qs6IV-jj8stL5iPGKrB-_x9lrMI0Q769Tlna0o6Y0JWMO819c5uDZ5k2NUc0HCMshsUxJmfWYa7oFveJKaGcBvHPckMO_ViuTNTcnYhpGktXVkDYK8gk6YBWXhKRiRYj2_VS5gBkka4-2pb775o4U6JgT54I_sSuVGhay0Ido3ExdY9TbpUidEZe9o1gucpvqwAxBz0aGQXWugaCKGP5rcO3xv3iG3UXHQg9Fy0mRrTx-IoG7mB9jvRwrrZQurqsOz2bHKcrUC64YJvi9gkd48RMLF4HDflzY0MjW9RuILfzvU-17bhtkgHA-T2yY45h5W1ss1JI8myRhJLVBalqBHb6wpC13zjlX4xj4Xu1W2d-U0zqgPFLjgx84bUuIfkZpvVALRlCyG8dJPRf_U_O8rghAtbDD2OBWKTwORNH5rjvcL0w7MKhFeenODq_NTtZl5gF-MiijwK9iae3un_RBe9KqAfkqUICiBamMoiMRpjqHE5ZjVyR9DtzLEggkS_F98-15tqMdweFGNnaIpvHQI-KJ93NDAd1HyW6dpv0J_uoxJp9JFI0BqDSKU3sybIAlxw0DfQ-mKrlBp4kvnfIdHMxs0BX-oMy9of5iu7vcKrVYjGv5Zit023sH_Y5ssCbdQmTo6bXoxEGeUakrri5L9l8vnNqAzmj4oMParEGZUcGySLpqrNpwRWwy8TGBh7KM4P2UJbhK1GU3frwqKZbqqGFckH7iAermRdcBBvP7xlmE6s4wS0Tv_aIL8gA07F4HSi4ABCQj7KdXa7nrCxlS8G5JjHE2rbtkNcCufjkxMbS6f0wJAeimcVQ70whszToOVWZkVvxMJzCb0et-U9F6FMc3jmb1gYzq4KBaK0kxAmJzkzOdgPLd9n0nT3Q-ogLmydPAc3epTYpWy-Gd2lx8CUCjDdiPYXEbdJOVVMH4V4H3Lwq2kz-194iVsDCg0HQVsg-RnZNyJqrGofS6lsuny_xXVSCYZTCcOQsmazpuSsO14W5u_jd2_pVQit9Aknz1H7BjtIXTbqU-wNBzfyHqnuu4wQomhxAK9XKtgKpaKzppzsKQBluwhMpBYSUabn5Y-j_fjjvgkGvXMpa0W6jcUNAwtdP4GDfZYXZd0Lp2GCx-l3pCHl35pTTONDO0CK188x1D-84UqpUA6wZcZ1lEe_58O8ZYSXnRfa1fCEkJzEN9pRzHbswnNDiNw0lCfc6Rq9ooERpOhcN5M4UEv61pUAPog6qOONOKMjkpqPWbTnyKUHY4Nhx6haBRqc3dYfaYVHfNE4emtPGwnjuWlkxvgszcpWYuDaIMdZnPETwgscjHzS9yzunWeduByTRSmAlO9qpSOdszxLE3dXhpapJHjGpr1B2NnU99yypvt3WvP_LzTiZdKbeNQhDk3Py6lp2XtaHFbOk37YVksOnJbI3usGpFklYYIbRxFPTs6yGLmluUv5O7LtNutt7XCifxK-ys8Kv3ld5wMqgczJ_hKHiUnHjZDmmxxW1N7nFtAn1VNHD5RNy00g-W-5gY62N6&pos=3&reqid=2jQtGGAfqtoviULR&type=CLICK
",https://salt.tikicdn.com/cache/200x280/ts/product/37/c5/a2/700582e658ac9c5e9dfc2ccc62932017.jpg,None

Máy tính bảng Samsung Galaxy Tab S7 FE (4GB/64GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,9.790.000 ₫,13.990.000 ₫,"https://tka.tiki.vn/pixel/pixel?data=Fxlfk-dzXRBt1TzCTRVT_udfKbJZSCNgLxlc-74F1Au4iI5t7ziYpDZF7K9_kEBuJSg7w8XWy_DTJ9uSiZzYt_lsEioKCGmyjqRFoUXL5l4SuNdlCAQc07H6FtQtRJdikf8freqqUE6854qMHzm6jdBrhcow4t0Tg3_dLS-DbXmf8uoNERU_xbTwY8O4f2lb95FtuJ4BN0gF2Wdrk74uX-dMnBADMXZ4TUUXBLqDoUHgZUHqQ19QW0NkDY1hKCxzTbxtwVi931Jn6BALXETtGvavTJj-n5fw2eNJAFiqkCqOLglh0ipapztWnL-k3Ico9B5an03UAZeyFsDP3yzr6QsapPZi32Rn4_E7GF8jADBsjYdoHRWVR_o6AnIabFrAZvRMH0OR8i4vSGb62d0RnnizKpKYUMiJNiinBgjtnNgDBxqGqSJ1GLFuk_ecsSJXClwZfel7c07Lokug_zU78lLjK3HCIai8a82GtnhbXYWl2vpLPtQfoAv_iwH3wk1782j4L7uH_HLdf6thJz5S-Z3FPIgF8vBtVNJ7hy7WqD2I55w8rk9VrEP-9Y7nqKgjpxcxvuprN9JSINqkss1Xe3WFwakrfQ_0t8KGmGX_x_ram54ejaXmrvUIhvgADaKh7r1QDsC3BUircBN42QPsaxnALoe0N7wWRWDrRCU8Bn-VCmiVDf6LqHEaKZYD86Il4qXD0FKh0r51ZvE-8uqXMEEkUFPt2d7imz-pDRYwa0FBfOZjMr4KLN7Gw0oZBgUAljCj4HVZI1vkBjGFu7AGGXTSzi0CKxNnysfm9X28ctY04z5b94GUdmkokob0Ryl8QeZhm5lCYtgyF3M7P3iHoN0c7ZvZqJIfuQZ5cvyGZslrepreCIowBUswlT8bSMOSNsizyNOkuu8yje8_OeqZ33-xu_AGs-VL-pG7H6YUAditA4K75pm05wGh98XHR8bOeCIDa6pvc-YN4JaDnOzUsKwd5UIxgGNAJ7RHukxfnRa9_Kz7ltJaZ5gRiA_7XnDeHjLxaYPzEuanCp-kDeVCNvJbQZoUfqOppXCWD4eQndzdmYNaWhurttu0OeU6dniahrsy12O52dTF7wQARajaZ162Mp_Bt30yVmQk1noISj2EmCr9Xigzvo5DYHwa_NuoBcI4ssZIMOhXINlwp1USDsuoDF3SbeyiUh784M0xS20tSQDWG71yBHmr9l3NEeJ4gmMdHMrSAK4B5hjz94Af0R1bNwPHhHw_c_sIrCSQbFWM6T9BMGhcdwTvT4usPrixiCZXeSE_hSAGP-OB8uiJKrzS_zTgMuwFPQlM9QcmVHS4kzpI-vSffiHOgEH_USqLkTGzlccUhKb6P-JQTjBOrzVyLB5WR7WZ0M5uVe8rHI1olJ_DDe1e8hjLlx5_PzPWT1_rommkd79BjvFB3lJ5-xhqUhHjUefVwsxMga9mht0wq95GDycAJXsSzHH1C2TwcxzhCx95cV2HYtO9oJPoCQRglK1inSBoBx0DS-FKab1so1QVLqV1Vkk1H8ce6_6MLsdtl6pkG9XoaHdTWUsOvKdrg6K4DohMj8TmDMbTItk_TGPrEqh3Vno1ZYuMl2pWYHrMGcW3pwTXqDKDyS0dOYf5IJrKd6gKqfgx5JbQhuUW4MwouoLk8b6-5g830JvJA9btZSoXNr_AS0DwCo0Fdt9BBVlqkA5T7X7_LA&pos=4&reqid=2jQtGGAfqtoviULR&type=CLICK
",https://salt.tikicdn.com/cache/200x280/ts/product/0c/a4/0a/778415bf9de87df4e62031220ef9b400.jpg,5

Máy tính bảng Vankyo MatrixPad S20 - Hàng Chính Hãng,2.590.000 ₫,None,"https://tka.tiki.vn/pixel/pixel?data=cngykhB6QB-DClOeC_2yJIxF8XCBSxg1oxUY3CuuVTWJpY2R6Fp24QR5C8ydrFyEbUokn2hiGjK33NDPVWVG2TPGZ2IFDUlNtBvqG8mX8GisB7wHd1hKH4YF0H5V3DZssDJP9uHkMnKNb5a1BpU470HdUZwEh676KdTKyCq610cYMrFaCGHoZUpZW_ssU1SrNqytXRb0lXa3siVpqXlvymKaJbbpM8v2vAzPXXUlhjKmY18WgAyog5b5PnvEGCjGiQXKTg54gUL7q-8Zv6j9tX5Vw2ESVp5AAaMRhhNFm-sKgNs0IkDGhCLwob98aVbMpAfACKpFC83thwThSHgOhvHxrXKmwv7FcbVtV9sveI_DMGrygJsfem0lAbuPuFfM8dEneGLBawtBcUKT2n2VpDPU0wGBikzyBaWcm5TH7fxPqPO-dmtty1-XGjSro_MC_8e44rdiIBP9E76vkJM9c0nUhfmzxc6a6hmXIrsHXd2e4kwax64kJTFzYcuWvWziRu79FKZL5buTFsNIDyMbOdekimaMY1-lwhrawAQ-GuLYIG5dYwMWEZl0E5y-AibBMbQ-C8uLDdcOmZBDGrSxkQqkK8bEhS-KJilL9dBgtt0l5Zr1LR-C7LwoHIxz3JKHi61qZPNyYHP6W5mHTe6emfV_dEF0HXLt8zqbbSQysqP0tS24yZiOrJ4FpeSdNK15wKPXvXeSvuWLAOz8y0jnK-n-FSREH0hAS70ferBtZFg8ARNkgXoduAqK0dQfS4t9KZT3ARDdtXf2zpNnHHGPGl5EV9y1hz-SCxJdAI7ByjHhmLDjPZpXJxMn8MNAKTseXgsuawzm5TzBXpeR2s4cxod3PXHyuueiSBK37szOJ4gckcllzbh2F6SbMelTES7a5b9U4zOXvXDoku6nNac1zaw3FjB_uhU1rlh0ilOXbYFXWilDcaHm0xneFzTHtiG169DEwfnX4CxoIRomQdZxZ2spimU5--79A4uXl6s2CA3VpOaq39I10wXtVPJEgptOxqT4QANg3ewOkoIRpEjKNOzkwKx1Ib6jinSg_ksd51FLapwSZubPHGTjtTnKDly9CcgyfHXz-AZEEKtWkJQEwuTWOWgNUe4AXovBEhLdsGC4QscXbJrEClzLk6RBXrtVFmcZLIycyA0or-PWz5X0O29k3sjzyS_eHy4miXRY9J2h6KnJGEFer5d1ThhZW9G9gv1whmIR6N1SXUBRhrnm42bM6vOJsueCE4ZaUNK4xIrr2IK8RdokOyxL0FXbGFjZnuy4bu03bX7WkCH5JtCY8x9WS4t3VlyveS_LFu6aB7AdzpiydPiNuIw0k2Px6WQceCiNq4gWATDxiwHtT6-YYvbBPPATrtOs751NwtZ9tfVHeGQM44ubFIWwLwMSPlUb37VsN34g1197_YR4ciqQd-tOPNs4zNzuhTpjBdpcgQpm6dGXWH30uXEP0pfwuLWRIZw5jmNlNkRWgW75qj3OLv8XedYVYlx_Al52T92jb35RhAxVnaSeo8coxnc4QY6ESdoZ17wzrL_52iR4N9joKJRjJdU5kTPxHcNhGSJ2chpmNTB3T7fdjDKZcQ&pos=5&reqid=2jQtGGAfqtoviULR&type=CLICK
",https://salt.tikicdn.com/cache/200x280/ts/product/f1/67/a0/ecba34184c1241875ce3bd9203ca9029.jpg,None
